"name","category","region","type","affiliated_with","designation_sources","page","type_1","type_2","description"
"Abdallah Ghanim Mahfuz Muslim Khawar","Terror",NA,NA,"al Qaeda Central Command ","SDGT",74,"individuals","terror",NA
"Abdallah Hadi 'Abd al-Rahman Fayhan Sharban Al-'Anizi","Terror",NA,NA,"al-Nusrah Front ","SDGT",74,"individuals","terror",NA
"Abdallah Muhammad Bin-Sulayman al-Muhaysini","Terror",NA,NA,"al-Nusrah Front ","SDGT",74,"individuals","terror",NA
"Abdallah Safi-al-Din","Terror",NA,NA,"Hezbollah ","SDGT",74,"individuals","terror",NA
"Abdallah al-Ashqar","Terror",NA,NA,"Mujahideen Shura Council in the Environs of Jerusalem ","SDGT",74,"individuals","terror",NA
"Abdel Aziz Rantisi","Terror",NA,NA,"Hamas ","SDGT",74,"individuals","terror",NA
"Abdelatif Gaini","Terror",NA,NA,"Islamic State","",74,"individuals","terror",NA
"Abdelbasit Alhaj Alhassan Haj Hamad","Terror",NA,NA,"al Qaeda Central Command ","SDGT",74,"individuals","terror",NA
"Abdelghani Mzoudi","Terror",NA,NA,"al Qaeda Central Command ","SDGT",74,"individuals","terror",NA
"Abdelhalim Remadna","Terror",NA,NA,"al Qaeda Central Command ","SDGT",74,"individuals","terror",NA
"Abdelilah Himich","Terror",NA,NA,"Islamic State ","SDGT",74,"individuals","terror",NA
"Abdelkader Laagoub","Terror",NA,NA,"al Qaeda Central Command ","SDGT",74,"individuals","terror",NA
"Abdelkader Mahmoud Es Sayed","Terror",NA,NA,"al Qaeda Central Command ","SDGT",74,"individuals","terror",NA
"Abdelkarim Hussein Hohamed al-Nasser","Terror",NA,NA,"Hezbollah al-Hejaz","",74,"individuals","terror",NA
"Abdelmalek Droukdel","Terror",NA,NA,"al Qaeda Central Command ","SDGT",74,"individuals","terror",NA
"Abdelrazag Elsharif Elosta","Terror",NA,NA,"Libyan Islamic Fighting Group ","SDGT",74,"individuals","terror",NA
"Abderrahmane Kifane","Terror",NA,NA,"al Qaeda Central Command ","SDGT",74,"individuals","terror",NA
"Abdessamad Fateh","Terror",NA,NA,"al Qaeda Central Command","",74,"individuals","terror",NA
"Abdifatah Abubakar Abdi","Terror",NA,NA,"al Qaeda Central Command ","SDGT",74,"individuals","terror",NA
"Abdiqadir Mumin","Terror",NA,NA,"Islamic State","",74,"individuals","terror",NA
"Abdollah Araghi","Terror",NA,NA,"Islamic Revolutionary Corps Guard ","SDGT",74,"individuals","terror",NA
"Abdul Aziz","Terror",NA,NA,"Taliban ","SDGT",74,"individuals","terror",NA
"Abdul Aziz Abbakar Muhamad","Terror",NA,NA,"al Qaeda Central Command ","SDGT",74,"individuals","terror",NA
"Abdul Aziz Abbasin","Terror",NA,NA,"Taliban ","SDGT",74,"individuals","terror",NA
"Abdul Aziz Haqqani","Terror",NA,NA,"Haqqani Network","",74,"individuals","terror",NA
"Abdul Aziz Nuristani","Terror",NA,NA,"Lashkar-e Tayyiba, Taliban, al Qaeda Central Command","",74,"individuals","terror",NA
"Abdul Baqi Bari","Terror",NA,NA,"Taliban ","SDGT",74,"individuals","terror",NA
"Abdul Basit Usman","Terror",NA,NA,"Jemaah Islamiyah, Abu Sayyaf Group, Bangsamoro Islamic Freedom Fighters","",74,"individuals","terror",NA
"Abdul Haq","Terror",NA,NA,"al Qaeda Central Command ","SDGT",74,"individuals","terror",NA
"Abdul Hakim Murad","Terror",NA,NA,"al Qaeda Central Command ","SDGT",74,"individuals","terror",NA
"Abdul Haseeb Logari","Terror",NA,NA,"Islamic State of Iraq and the Levant Khorasan, Islamic State","",74,"individuals","terror",NA
"Abdul Jabbar","Terror",NA,NA,"","SDGT",74,"individuals","terror",NA
"Abdul Jashari","Terror",NA,NA,"al Qaeda Central Command ","SDGT",74,"individuals","terror",NA
"Abdul Jalil Bakhtawar","Terror",NA,NA,"Taliban","",74,"individuals","terror",NA
"Abdul Latheef Mohamed Jameel","Terror",NA,NA,"National Thowheed Jama'at","",74,"individuals","terror",NA
"Abdul Latif Saad","Terror",NA,NA,"Hezbollah ","SDGT",74,"individuals","terror",NA
"Abdul Majeed","Terror",NA,NA,"al Qaeda Central Command ","SDGT",74,"individuals","terror",NA
"Abdul Muquith","Terror",NA,NA,"Al Muhajirun","",74,"individuals","terror",NA
"Abdul Manaf Kasmuri","Terror",NA,NA,"al Qaeda Central Command ","SDGT",74,"individuals","terror",NA
"Abdul Manan Hotak","Terror",NA,NA,"Taliban","",74,"individuals","terror",NA
"Abdul Mohsen Abdullah Ibrahim al-Sharikh","Terror",NA,NA,"al Qaeda Central Command ","SDGT",74,"individuals","terror",NA
"Abdul Muhid","Terror",NA,NA,"Al Muhajirun","",74,"individuals","terror",NA
"Abdul Qadeer Basir Abdul Baseer","Terror",NA,NA,"Taliban","SDGT",75,"individuals","terror",NA
"Abdul Rashid Baluch","Terror",NA,NA,"Taliban","SDGT",75,"individuals","terror",NA
"Abdul Rahim al-Talhi","Terror",NA,NA,"al Qaeda Central Command","SDGT",75,"individuals","terror",NA
"Abdul Rahim Ba'asyir","Terror",NA,NA,"al Qaeda Central Command","SDGT",75,"individuals","terror",NA
"Abdul Rahim Manan","Terror",NA,NA,"Taliban","SDGT",75,"individuals","terror",NA
"Abdul Rahman Yasin","Terror",NA,NA,"al Qaeda Central Command","SDGT",75,"individuals","terror",NA
"Abdul Rauf Azhar","Terror",NA,NA,"Jaish-e-Mohammed Kashmir","SDGT",75,"individuals","terror",NA
"Abdul Rehman al-Dakhil","Terror",NA,NA,"Lashkar-e Tayyiba","SDGT",75,"individuals","terror",NA
"Abdul Reza Shahlai","Terror",NA,NA,"Islamic Revolutionary Corps Guard","SDGT",75,"individuals","terror",NA
"Abdul Rosyid Ridho Ba'asyir","Terror",NA,NA,"Islamic State","SDGT",75,"individuals","terror",NA
"Abdul Saboor","Terror",NA,NA,"Hezb-e Islami Gulbuddin","",75,"individuals","terror",NA
"Abdul Samad Achekzai","Terror",NA,NA,"Taliban","SDGT",75,"individuals","terror",NA
"Abdul Samad Sani","Terror",NA,NA,"Taliban","SDGT",75,"individuals","terror",NA
"Abdul-Malik Badreddin al-Houthi","Terror",NA,NA,"Houthis","",75,"individuals","terror",NA
"Abdulbaqi Mohammed Khaled","Terror",NA,NA,"al Qaeda Central Command","SDGT",75,"individuals","terror",NA
"Abdullah Anshori","Terror",NA,NA,"al Qaeda Central Command","SDGT",75,"individuals","terror",NA
"Abdullah Ahmed Abdullah","Terror",NA,NA,"al Qaeda Central Command","SDGT",75,"individuals","terror",NA
"Abdullah Ahmed al-Meshedani","Terror",NA,NA,"Islamic State","",75,"individuals","terror",NA
"Abdullah Al-Mohaisany","Terror",NA,NA,"al-Nusrah Front","",75,"individuals","terror",NA
"Abdullah Azzam","Terror",NA,NA,"Lashkar-e Tayyiba, Taliban, al Qaeda Central Command","",75,"individuals","terror",NA
"Abdullah Ibrahim Al Faisal","Terror",NA,NA,"Islamic State","",75,"individuals","terror",NA
"Abdullah Mujahid","Terror",NA,NA,"Lashkar-e Tayyiba","SDGT",75,"individuals","terror",NA
"Abdullah Muntazir","Terror",NA,NA,"Lashkar-e Tayyiba","SDGT",75,"individuals","terror",NA
"Abdullah Makapaar","Terror",NA,NA,"Bangsamoro Islamic Freedom Fighters","",75,"individuals","terror",NA
"Abdullah Muhammad Rajab ABD Al-Rahman","Terror",NA,NA,"al Qaeda Central Command","SDGT",75,"individuals","terror",NA
"Abdullah Nowbahar","Terror",NA,NA,"Hezb-e Islami Gulbuddin","",75,"individuals","terror",NA
"Abdullah Orakzai","Terror",NA,NA,"Islamic State of Iraq and the Levant Khorasan, Islamic State","",75,"individuals","terror",NA
"Abdullah Samad Faroqui","Terror",NA,NA,"Taliban","SDGT",75,"individuals","terror",NA
"Abdullah Öcalan","Terror",NA,NA,"Kurdistan Workers Party","",75,"individuals","terror",NA
"Abdullakh Anzorov","Terror",NA,NA,"","",75,"individuals","terror",NA
"Abdulpatta Escalon Abubakar","Terror",NA,NA,"Islamic State","SDGT",75,"individuals","terror",NA
"Abdur Rehman","Terror",NA,NA,"Taliban","SDGT",75,"individuals","terror",NA
"Abid Hammadou","Terror",NA,NA,"al Qaeda Central Command","SDGT",75,"individuals","terror",NA
"Abu 'Ubaydah Yusuf al 'Anabi","Terror",NA,NA,"al Qaeda Central Command","SDGT",75,"individuals","terror",NA
"Abu Abbas","Terror",NA,NA,"Palestine Liberation Front","SDGT",75,"individuals","terror",NA
"Abu Abd Allah Al-Ansary","Terror",NA,NA,"Islamic State","",75,"individuals","terror",NA
"Abu Abd Errahman Assanhadji","Terror",NA,NA,"Al-Qaeda in the Islamic Maghreb","",75,"individuals","terror",NA
"Abu Abdullah Al Shami","Terror",NA,NA,"Hayyat Tahrir Al-Sham","",75,"individuals","terror",NA
"Abu Ahmed al Indonesi","Terror",NA,NA,"","",75,"individuals","terror",NA
"Abu Al-Fath Al-Farghali","Terror",NA,NA,"Hayyat Tahrir Al-Sham","",75,"individuals","terror",NA
"Abu Alhassan Almuhajier","Terror",NA,NA,"Islamic State","",75,"individuals","terror",NA
"Abu Ali Al Anbari","Terror",NA,NA,"Islamic State","",75,"individuals","terror",NA
"Abu Amar Al-Omar","Terror",NA,NA,"Ahrar al Sham","",75,"individuals","terror",NA
"Abu Anas al-Ghandour","Terror",NA,NA,"Hamas","",75,"individuals","terror",NA
"Abu Askar al-Amani","Terror",NA,NA,"","",75,"individuals","terror",NA
"Abu Baha' Al-Ata","Terror",NA,NA,"Palestinian Islamic Jihad","",76,"individuals","terror",NA
"Abu Bakar Ba'asyir","Terror",NA,NA,"al Qaeda Central Command","SDGT",76,"individuals","terror",NA
"Abu Bakr Muhammad Muhammad Ghumayn","Terror",NA,NA,"al Qaeda Central Command","SDGT",76,"individuals","terror",NA
"Abu Bakr al-Baghdadi","Terror",NA,NA,"Islamic State","",76,"individuals","terror",NA
"Abu Dujuna","Terror",NA,NA,"Lashkar-e Tayyiba","",76,"individuals","terror",NA
"Abu Hafs Al-Masri","Terror",NA,NA,"al Qaeda Central Command","SDGT",76,"individuals","terror",NA
"Abu Hafs al-Mauritani","Terror",NA,NA,"al Qaeda Central Command","",76,"individuals","terror",NA
"Abu Hajar Hadrami","Terror",NA,NA,"Islamic State","",76,"individuals","terror",NA
"Abu Haleema","Terror",NA,NA,"Al Muhajirun","",76,"individuals","terror",NA
"Abu Hamas","Terror",NA,NA,"Jaish-e-Mohammed Kashmir","",76,"individuals","terror",NA
"Abu Hamza al-Masri","Terror",NA,NA,"al Qaeda Central Command","SDGT",76,"individuals","terror",NA
"Abu Hamza al Qurashi","Terror",NA,NA,"Islamic State","",76,"individuals","terror",NA
"Abu Haydar Al Hamzi","Terror",NA,NA,"Houthis","",76,"individuals","terror",NA
"Abu Ibrahim al Hashimi al Qurashi","Terror",NA,NA,"Islamic State","",76,"individuals","terror",NA
"Abu Khattalah","Terror",NA,NA,"Ansar al-Shari'a in Benghazi","",76,"individuals","terror",NA
"Abu Mahdi Al-Muhandis","Terror",NA,NA,"Kata'ib Hizballah","",76,"individuals","terror",NA
"Abu Mohammed al-Adnani","Terror",NA,NA,"Islamic State","",76,"individuals","terror",NA
"Abu Mous'ab Al-Souri","Terror",NA,NA,"al Qaeda Central Command","",76,"individuals","terror",NA
"Abu Muhsin al-Masri","Terror",NA,NA,"al Qaeda Central Command","",76,"individuals","terror",NA
"Abu Musab al-Barnawi","Terror",NA,NA,"Boko Haram","",76,"individuals","terror",NA
"Abu Musab al-Zarqawi","Terror",NA,NA,"","",76,"individuals","terror",NA
"Abu Obeida Kansafra","Terror",NA,NA,"Hayyat Tahrir Al-Sham","",76,"individuals","terror",NA
"Abu Omar Al Maslawi","Terror",NA,NA,"Islamic State","",76,"individuals","terror",NA
"Abu Omar al-Shishani","Terror",NA,NA,"Islamic State","",76,"individuals","terror",NA
"Abu Rusdan","Terror",NA,NA,"al Qaeda Central Command","SDGT",76,"individuals","terror",NA
"Abu Sufian al-Salamabi Muhammed Ahmed 'Abd al-Razziq","Terror",NA,NA,"al Qaeda Central Command","",76,"individuals","terror",NA
"Abu Sulayman Al-Adani","Terror",NA,NA,"Islamic State","SDGT",76,"individuals","terror",NA
"Abu Talib Saidi","Terror",NA,NA,"Hezbollah","",76,"individuals","terror",NA
"Abu Ubaydah Khayri Hafiz Al-Agha","Terror",NA,NA,"Hamas","SDGT",76,"individuals","terror",NA
"Abu Ubaydah Yusuf al-Anabi","Terror",NA,NA,"Al-Qaeda in the Islamic Maghreb","",76,"individuals","terror",NA
"Abu Uqayi","Terror",NA,NA,"Islamic State","",76,"individuals","terror",NA
"Abu Waleed","Terror",NA,NA,"","",76,"individuals","terror",NA
"Abu Yahya Al-Libi","Terror",NA,NA,"al Qaeda Central Command","SDGT",76,"individuals","terror",NA
"Abu Yahya al-Iraqi","Terror",NA,NA,"Islamic State","",76,"individuals","terror",NA
"Abukar Adam Kambar","Terror",NA,NA,"Boko Haram","",76,"individuals","terror",NA
"Abubakar Shekau","Terror",NA,NA,"Boko Haram","",76,"individuals","terror",NA
"Abukar Ali Adan","Terror",NA,NA,"al-Shabaab","",76,"individuals","terror",NA
"Abul-Hasan Al-Muhajir","Terror",NA,NA,"Islamic State","",76,"individuals","terror",NA
"Adel Abdul Jalil Ibrahim Batarjee","Terror",NA,NA,"al Qaeda Central Command","SDGT",76,"individuals","terror",NA
"Adel Ben Soltane","Terror",NA,NA,"al Qaeda Central Command","SDGT",76,"individuals","terror",NA
"Adel Mohamad Cherri","Terror",NA,NA,"Hezbollah","SDGT",76,"individuals","terror",NA
"Adel Radi Saqr Al-Wahabi Al-Harbi","Terror",NA,NA,"al Qaeda Central Command","SDGT",76,"individuals","terror",NA
"Adele Balasingham née Wilby","Terror",NA,NA,"Liberation Tigers of Tamil Eelam","",76,"individuals","terror",NA
"Adem Yilmaz","Terror",NA,NA,"Islamic Jihad Union","SDGT",76,"individuals","terror",NA
"Adham Husayn Tabaja","Terror",NA,NA,"Hezbollah","SDGT",76,"individuals","terror",NA
"Adil Abduh Fari Uthman Al-Dhubhani","Terror",NA,NA,"al Qaeda Central Command","SDGT",77,"individuals","terror",NA
"Adil Ahmad Dar","Terror",NA,NA,"Jaish-e-Mohammed Kashmir","",77,"individuals","terror",NA
"Adil Ahmed Bhat","Terror",NA,NA,"Hizbul Mujahideen","",77,"individuals","terror",NA
"Adil Muhammad Mahmud abd Al-Khaliq","Terror",NA,NA,"al Qaeda Central Command","SDGT",77,"individuals","terror",NA
"Adnan Abu Walid Al-Sahrawi","Terror",NA,NA,"Islamic State","SDGT",77,"individuals","terror",NA
"Adnan Hussein Kawtharani","Terror",NA,NA,"Hezbollah","SDGT",77,"individuals","terror",NA
"Adnan Muhammad Admin al-Rawi","Terror",NA,NA,"Islamic State","SDGT",77,"individuals","terror",NA
"Afif Abdul Majid","Terror",NA,NA,"Islamic State","SDGT",77,"individuals","terror",NA
"Agus Dwikarna","Terror",NA,NA,"al Qaeda Central Command","SDGT",77,"individuals","terror",NA
"Ahmad (Ahmed) Santos","Terror",NA,NA,"","SDGT",77,"individuals","terror",NA
"Ahmad Al-Shami","Terror",NA,NA,"Hezbollah","SDGT",77,"individuals","terror",NA
"Ahmad Alkhald","Terror",NA,NA,"Islamic State","",77,"individuals","terror",NA
"Ahmad Harb Al-Kurd","Terror",NA,NA,"Hamas","SDGT",77,"individuals","terror",NA
"Ahmad Hasan Yusuf","Terror",NA,NA,"Saraya al Ashtar","",77,"individuals","terror",NA
"Ahmad Ibrahim al-Mughassil","Terror",NA,NA,"Hezbollah al-Hejaz","",77,"individuals","terror",NA
"Ahmad Iman Ali","Terror",NA,NA,"al-Shabaab","",77,"individuals","terror",NA
"Ahmad Jabril","Terror",NA,NA,"Popular Front for the Liberation of Palestine","SDGT",77,"individuals","terror",NA
"Ahmad Khalaf Shabib al-Dulaymi","Terror",NA,NA,"al Qaeda Central Command","SDGT",77,"individuals","terror",NA
"Ahmad Medinsky","Terror",NA,NA,"Caucuses Emirate","",77,"individuals","terror",NA
"Ahmad Rahal","Terror",NA,NA,"Free Syrian Army","",77,"individuals","terror",NA
"Ahmad Zerfaoui","Terror",NA,NA,"al Qaeda Central Command","SDGT",77,"individuals","terror",NA
"Ahmad Zia Agha","Terror",NA,NA,"Taliban","SDGT",77,"individuals","terror",NA
"Ahmed Abdi Aw-Mohamed","Terror",NA,NA,"al Qaeda Central Command","SDGT",77,"individuals","terror",NA
"Ahmed Abdullah Saleh al-Khazmari al-Zahrani","Terror",NA,NA,"al Qaeda Central Command","",77,"individuals","terror",NA
"Ahmed Abdulrahman Sihab Ahmed Sihab","Terror",NA,NA,"al Qaeda Central Command","SDGT",77,"individuals","terror",NA
"Ahmed Abu Khattalah","Terror",NA,NA,"Ansar al-Shari'a in Benghazi","SDGT",77,"individuals","terror",NA
"Ahmed Deghdegh","Terror",NA,NA,"al Qaeda Central Command","SDGT",77,"individuals","terror",NA
"Ahmed Diriye","Terror",NA,NA,"al-Shabaab","",77,"individuals","terror",NA
"Ahmed El Bouhali","Terror",NA,NA,"al Qaeda Central Command","SDGT",77,"individuals","terror",NA
"Ahmed Foruzandeh","Terror",NA,NA,"Islamic Revolutionary Corps Guard","SDGT",77,"individuals","terror",NA
"Ahmed Hosni Rarrbo","Terror",NA,NA,"al Qaeda Central Command","SDGT",77,"individuals","terror",NA
"Ahmed Jan Wazir","Terror",NA,NA,"Taliban","SDGT",77,"individuals","terror",NA
"Ahmed Khalfan Ghailani","Terror",NA,NA,"al Qaeda Central Command","SDGT",77,"individuals","terror",NA
"Ahmed Luqman Talib","Terror",NA,NA,"al Qaeda Central Command","",77,"individuals","terror",NA
"Ahmed Mohammed Hamed Ali","Terror",NA,NA,"al Qaeda Central Command","SDGT",77,"individuals","terror",NA
"Ahmed Muaz","Terror",NA,NA,"Islamic State","",77,"individuals","terror",NA
"Ahmed Yaqub","Terror",NA,NA,"Lashkar-e Tayyiba","SDGT",77,"individuals","terror",NA
"Ahmed Yassin","Terror",NA,NA,"Hamas","",77,"individuals","terror",NA
"Ahmed el Tilemsi","Terror",NA,NA,"Movement for Unity and Jihad in West Africa","",77,"individuals","terror",NA
"Ainhoa Mugica Goni","Terror",NA,NA,"Askatasuna","SDGT",77,"individuals","terror",NA
"Aitzol Iriondo Yarza","Terror",NA,NA,"Askatasuna","",77,"individuals","terror",NA
"Ajmal Kasab","Terror",NA,NA,"Lashkar-e Tayyiba","",77,"individuals","terror",NA
"Akbar Seyed Alhosseini","Terror",NA,NA,"Islamic Revolutionary Corps Guard","SDGT",77,"individuals","terror",NA
"Akhmed Chatayev","Terror",NA,NA,"al Qaeda Central Command","SDGT",77,"individuals","terror",NA
"Akila","Terror",NA,NA,"Liberation Tigers of Tamil Eelam","",77,"individuals","terror",NA
"Akram Turki Hishan al Mazidih","Terror",NA,NA,"al Qaeda Central Command","SDGT",78,"individuals","terror",NA
"Al-Azhar Ben Ammar Ben Abdallah Tlili","Terror",NA,NA,"al Qaeda Central Command","SDGT",78,"individuals","terror",NA
"Al-Hasan Ali Ali Akbar","Terror",NA,NA,"al-Qa'ida in the Arabian Peninsula","SDGT",78,"individuals","terror",NA
"Alexanda Amon Kotey","Terror",NA,NA,"Islamic State","",78,"individuals","terror",NA
"Alfonso Echegaray Achirica","Terror",NA,NA,"Askatasuna","SDGT",78,"individuals","terror",NA
"Ali Abbas Usman Jega","Terror",NA,NA,"Islamic Revolutionary Corps Guard","SDGT",78,"individuals","terror",NA
"Ali Ahmad Chehade","Terror",NA,NA,"Hezbollah","SDGT",78,"individuals","terror",NA
"Ali Ahmidah al-Safrani","Terror",NA,NA,"Islamic State","SDGT",78,"individuals","terror",NA
"Ali Akbar Ahmadian","Terror",NA,NA,"Islamic Revolutionary Corps Guard","SDGT",78,"individuals","terror",NA
"Ali Atwa","Terror",NA,NA,"Hezbollah","",78,"individuals","terror",NA
"Ali Bhai","Terror",NA,NA,"Lashkar-e Tayyiba","",78,"individuals","terror",NA
"Ali Damush","Terror",NA,NA,"Hezbollah","",78,"individuals","terror",NA
"Ali El Heit","Terror",NA,NA,"al Qaeda Central Command","SDGT",78,"individuals","terror",NA
"Ali Hasan 'Ali al-'Ajmi","Terror",NA,NA,"al Qaeda Central Command","SDGT",78,"individuals","terror",NA
"Al Hasan Zuraik","Terror",NA,NA,"Hezbollah","SDGT",78,"individuals","terror",NA
"Ali Hassan Khalil","Terror",NA,NA,"Hezbollah","",78,"individuals","terror",NA
"Ali Hassan Salameh","Terror",NA,NA,"Palestinian Black September Organiation","",78,"individuals","terror",NA
"Ali Ibrahim Al-Watfa","Terror",NA,NA,"Hezbollah","SDGT",78,"individuals","terror",NA
"Ali Maychou","Terror",NA,NA,"al Qaeda Central Command","SDGT",78,"individuals","terror",NA
"Ali Mohamed Saleh","Terror",NA,NA,"Hezbollah","SDGT",78,"individuals","terror",NA
"Al I Mohammad son of Mohammad Ibrahim","Terror",NA,NA,"Islamic State of Iraq and the Levant Khorasan, Islamic State","",78,"individuals","terror",NA
"Ali Muhammad Abu Turab","Terror",NA,NA,"Lashkar-e Tayyiba","SDGT",78,"individuals","terror",NA
"Ali Muhammad Kazan","Terror",NA,NA,"Hezbollah","SDGT",78,"individuals","terror",NA
"Ali Muhammad Qansu","Terror",NA,NA,"Hezbollah","SDGT",78,"individuals","terror",NA
"Ali Musa al-Shawakh","Terror",NA,NA,"Islamic State","SDGT",78,"individuals","terror",NA
"Ali Musa Daqduq","Terror",NA,NA,"Hezbollah","",78,"individuals","terror",NA
"Ali Ozma'i","Terror",NA,NA,"Islamic Revolutionary Corps Guard","SDGT",78,"individuals","terror",NA
"Ali Ouni Harzi","Terror",NA,NA,"Ansar al-Shari'a in Tunisia","",78,"individuals","terror",NA
"Ali Reza Tangsiri","Terror",NA,NA,"Islamic Revolutionary Corps Guard","SDGT",78,"individuals","terror",NA
"Ali Sharifi","Terror",NA,NA,"Islamic Revolutionary Corps Guard","SDGT",78,"individuals","terror",NA
"Ali Sa'd Muhammad Mustafa Bakri","Terror",NA,NA,"al Qaeda Central Command","SDGT",78,"individuals","terror",NA
"Ali Saed Bin Ali el-Hoorie","Terror",NA,NA,"Hezbollah al-Hejaz","",78,"individuals","terror",NA
"Ali Saleh Husain","Terror",NA,NA,"al Qaeda Central Command","SDGT",78,"individuals","terror",NA
"Ali Shams Mulavi","Terror",NA,NA,"Islamic Revolutionary Corps Guard","SDGT",78,"individuals","terror",NA
"Ali Sulayman Mas'ud Abd al-Sayyid","Terror",NA,NA,"al Qaeda Central Command","SDGT",78,"individuals","terror",NA
"Ali Tajideen","Terror",NA,NA,"Hezbollah","SDGT",78,"individuals","terror",NA
"Ali Tarzali","Terror",NA,NA,"Islamic Revolutionary Corps Guard","SDGT",78,"individuals","terror",NA
"Ali Youssef Charara","Terror",NA,NA,"Hezbollah","SDGT",78,"individuals","terror",NA
"Ali Zeaiter","Terror",NA,NA,"Hezbollah","SDGT",78,"individuals","terror",NA
"Aliaskhab Kebekov","Terror",NA,NA,"Caucuses Emirate","",78,"individuals","terror",NA
"Alireza Atabaki","Terror",NA,NA,"Islamic Revolutionary Corps Guard","SDGT",78,"individuals","terror",NA
"Alireza Hemmati","Terror",NA,NA,"Islamic Revolutionary Corps Guard","SDGT",78,"individuals","terror",NA
"Allah Nazar Baloch","Terror",NA,NA,"Baloch Liberation Front","",78,"individuals","terror",NA
"Alona Munoa Orozgoiti","Terror",NA,NA,"Askatasuna","SDGT",78,"individuals","terror",NA
"Alsayed Muradha Majeed Ramadhan Alawi","Terror",NA,NA,"Saraya al Ashtar","",78,"individuals","terror",NA
"Amanullah Afridi","Terror",NA,NA,"al Qaeda Central Command","SDGT",79,"individuals","terror",NA
"Amedy Coulibaly","Terror",NA,NA,"ISIS-WEST AFRICA","",79,"individuals","terror",NA
"Ameril Umra Kato","Terror",NA,NA,"Bangsamoro Islamic Freedom Fighters","",79,"individuals","terror",NA
"Amin al-Haq","Terror",NA,NA,"al Qaeda Central Command","SDGT",79,"individuals","terror",NA
"Amin Mahdavi","Terror",NA,NA,"Parthia Cargo LLC, Mahan Air","",79,"individuals","terror",NA
"Amin Sherri","Terror",NA,NA,"Hezbollah","SDGT",79,"individuals","terror",NA
"Amir Abdullah","Terror",NA,NA,"Taliban","SDGT",79,"individuals","terror",NA
"Amir Ali Hajizadeh","Terror",NA,NA,"Islamic Revolutionary Corps Guard","SDGT",79,"individuals","terror",NA
"Amir Hamza","Terror",NA,NA,"Lashkar-e Tayyiba","SDGT",79,"individuals","terror",NA
"Amith Weerasinghe","Terror",NA,NA,"Maha Sohon Balakaya","",79,"individuals","terror",NA
"Amran Bin Mansour","Terror",NA,NA,"al Qaeda Central Command","SDGT",79,"individuals","terror",NA
"Amru al-Absi","Terror",NA,NA,"Islamic State","",79,"individuals","terror",NA
"Anas El Abboubi","Terror",NA,NA,"Islamic State","",79,"individuals","terror",NA
"Anas Haqqani","Terror",NA,NA,"Taliban","",79,"individuals","terror",NA
"Anas Hasan Khattab","Terror",NA,NA,"al Qaeda Central Command","SDGT",79,"individuals","terror",NA
"Anders Breivik","Terror",NA,NA,"","",79,"individuals","terror",NA
"Anders Cameroon Ostenvig Dale","Terror",NA,NA,"","",79,"individuals","terror",NA
"Andrew Lynam","Terror",NA,NA,"","",79,"individuals","terror",NA
"Angel Alcalde Linares","Terror",NA,NA,"Askatasuna","SDGT",79,"individuals","terror",NA
"Angelo Ramirez Trinidad","Terror",NA,NA,"Rajah Solaiman Movement","SDGT",79,"individuals","terror",NA
"Angga Dimas Pershada","Terror",NA,NA,"Jemaah Islamiyah","SDGT",79,"individuals","terror",NA
"Anjem Choudary","Terror",NA,NA,"Islamic State","",79,"individuals","terror",NA
"Anthony Small","Terror",NA,NA,"Al Muhajirun","",79,"individuals","terror",NA
"Anton Balasingham","Terror",NA,NA,"Liberation Tigers of Tamil Eelam","",79,"individuals","terror",NA
"Antonio Agustin Figal Arranz","Terror",NA,NA,"Askatasuna","SDGT",79,"individuals","terror",NA
"Anwar al-Awlaki","Terror",NA,NA,"al-Qa'ida in the Arabian Peninsula","",79,"individuals","terror",NA
"Aqeel Abdulaziz Aqeeil al-Aqil","Terror",NA,NA,"al Qaeda Central Command","SDGT",79,"individuals","terror",NA
"Aqib Maulvi","Terror",NA,NA,"Hizbul Mujahideen","",79,"individuals","terror",NA
"Aqsa Mahmood","Terror",NA,NA,"Islamic State","SDGT",79,"individuals","terror",NA
"Aras Habib Kareem","Terror",NA,NA,"Islamic Revolutionary Corps Guard","SDGT",79,"individuals","terror",NA
"Arif Qasmani","Terror",NA,NA,"Lashkar-e Tayyiba","SDGT",79,"individuals","terror",NA
"Aris Munandar","Terror",NA,NA,"al Qaeda Central Command","SDGT",79,"individuals","terror",NA
"Arkam 'Abbas al-Kabi","Terror",NA,NA,"Harakat al-Nujaba","SDGT",79,"individuals","terror",NA
"Asadollah Seifi","Terror",NA,NA,"Islamic Revolutionary Corps Guard","SDGT",79,"individuals","terror",NA
"Aschraf al-Dagma","Terror",NA,NA,"al Qaeda Central Command","SDGT",79,"individuals","terror",NA
"Aseel Munthana","Terror",NA,NA,"Islamic State","SDGT",79,"individuals","terror",NA
"Ashraf Ahmad Fari' Al-'Allak","Terror",NA,NA,"al-Nusrah Front","SDGT",79,"individuals","terror",NA
"Ashraf Muhammad Yusuf 'Uthman abd al-Salam","Terror",NA,NA,"al Qaeda Central Command","SDGT",79,"individuals","terror",NA
"Ashraf Na'alwa","Terror",NA,NA,"","",79,"individuals","terror",NA
"Asier Quintana Zorrozua","Terror",NA,NA,"Askatasuna","SDGT",79,"individuals","terror",NA
"Asim Umar","Terror",NA,NA,"al Qaeda Central Command","",79,"individuals","terror",NA
